Month,Year,Temperature,Precipitation
January,2018,4.3,20
February,2018,2.5,18
March,2018,7.0,35
April,2018,12.0,25
May,2018,18.0,40
June,2018,23.0,60
July,2018,25.0,55
August,2018,22.0,50
September,2018,15.0,35
October,2018,10.0,40
November,2018,7.0,30
December,2018,5.0,10
January,2019,3.0,30
February,2019,1.0,28
March,2019,6.0,40
April,2019,10.0,50
May,2019,16.0,60
June,2019,21.0,70
July,2019,24.0,90
August,2019,23.0,85
September,2019,17.0,55
October,2019,12.0,40
November,2019,8.0,35
December,2019,6.0,25
